leaching_status,strength_ratio,cement_displaced_t,cement_value_inr,carbon_value_inr,disposal_value_inr,transport_cost_inr,net_inr_per_t,conditional_on_leaching_compliance,replacement_pct,sharma2021_ratio,nandi2021_ratio,both_at_least_control
untested,1.0,1.0,8000.0,0.0,0.0,0.0,8000.0,True,0,1.0,1.0,True
untested,1.0,1.0,8000.0,0.0,0.0,0.0,8000.0,True,5,1.064076,1.034,True
untested,1.0,1.0,8000.0,0.0,0.0,0.0,8000.0,True,10,1.065363,1.117,True
untested,1.0,1.0,8000.0,0.0,0.0,0.0,8000.0,True,15,1.030108,1.191,True
untested,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,20,0.958312,0.951,False
untested,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,25,0.932064,0.956,False
